ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
0100BRP90317,bstjada,,,Temple Meads Stn,,Temple Meads Stn,,,,Temple Gate,,,,T1,,SE,N0077020,Temple Meads,Bristol,,,,,,false,UKOS,359581,172304,-2.58302,51.44827,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2019-08-06T11:10:46,49,new,active
0100BRP90318,bstgwtd,,,Temple Meads Stn,,Temple Meads Stn,,,,Redcliffe Way,,,,T4,,NW,N0077020,Temple Meads,Bristol,,,,,,false,UKOS,359438,172366,-2.58508,51.44882,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2024-01-12T11:30:59,86,new,active
0100BRP90310,bstgwpa,,,Temple Meads Stn,,Temple Meads Stn,,,,Redcliffe Way,,,,T3,,E,N0077020,Temple Meads,Bristol,,,,,,false,UKOS,359389,172389,-2.58579,51.44902,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2023-04-21T18:02:19,99,new,active
0100BRP90311,bstgwpm,,,Temple Meads Stn,,Temple Meads Stn,,,,Victoria Street,,,,T7,,NW,N0077020,Temple Meads,Bristol,,,,,,false,UKOS,359403,172513,-2.5856,51.45014,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2019-09-13T10:41:38,73,new,active
010000056,bstpjgw,,,Temple Meads Stn,,Temple Meads Stn,,,,Temple Gate,,,,T2,,N,N0077020,Temple Meads,Bristol,,,,,,false,UKOS,359452,172461,-2.58489,51.44967,BCT,MKD,OTH,,,,009,2019-08-06T00:00:00,2025-04-17T09:38:46,120,new,active
0100BRP90312,bstjaja,,,Temple Meads Stn,,Temple Meads Stn,,,,Station Approach,,,,T6,,NE,N0077020,Temple Meads,Bristol,,,,,,false,UKOS,359609,172383,-2.58262,51.44898,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2025-04-17T09:40:07,53,new,active
0100BRP90313,bstjama,,,Temple Meads Stn,,Temple Meads Stn,,,,Station Approach,,,,T5,,NE,N0077020,Temple Meads,Bristol,,,,,,false,UKOS,359669,172433,-2.58177,51.44944,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2020-11-26T13:22:13,44,new,active
0100BRA46646,bstpdpm,,,Old Market Street,,,,,,Old Market Street,,,,M3,,E,N0077040,Old Market,Bristol,,,,,,false,UKOS,359635,173156,-2.58234,51.45593,BCT,MKD,OTH,,,,009,2007-03-14T00:00:00,2025-03-07T11:14:37,58,new,active
0100BRA46647,bstpdpt,,,Old Market Street,,,,,,Old Market Street,,,,M4,,W,N0077040,Old Market,Bristol,,,,,,false,UKOS,359693,173171,-2.5815,51.45607,BCT,MKD,OTH,,,,009,2007-03-14T00:00:00,2025-03-07T11:15:01,52,new,active
010000007,bstpgjw,,,Southmead Hospital,,,,,,Central Way,,,,H,,W,E0035644,Southmead,Bristol,,,,,,false,UKOS,359038,177677,-2.59145,51.49654,BCT,MKD,OTH,,,,009,2019-07-10T00:00:00,2019-07-10T14:48:59,142,new,active
